time,swiggy,zomato,Eatsure,Eatclub,Dominoz,BigBasket,Dunzo,zepto,Blinkit,Others,Total deliveries
2022-10-26 17:00:00,2,0,0,0,0,2,0,1,1,0,6
2022-10-26 18:00:00,4,0,0,1,0,0,0,1,0,0,6
2022-10-26 19:00:00,6,4,0,2,0,2,1,1,0,0,16
2022-10-26 20:00:00,17,3,0,1,0,0,1,2,0,0,24
2022-10-26 21:00:00,9,1,0,0,0,0,0,0,1,0,11
2022-10-26 22:00:00,11,2,0,1,0,0,0,1,1,0,16
2022-10-26 23:00:00,9,5,0,1,0,0,0,0,1,0,16
2022-10-27 0:00:00,1,0,0,1,0,0,0,0,0,0,2
2022-10-27 1:00:00,3,1,0,0,0,0,0,1,0,0,5
2022-10-27 2:00:00,2,2,0,0,0,0,0,0,0,0,4
2022-10-27 3:00:00,1,1,1,0,0,0,0,0,0,0,3
2022-10-27 4:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-27 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-27 6:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-27 7:00:00,0,0,0,0,0,1,0,1,1,0,3
2022-10-27 8:00:00,1,0,0,0,0,1,0,0,0,0,2
2022-10-27 9:00:00,0,1,0,0,0,0,1,2,1,0,5
2022-10-27 10:00:00,1,0,0,0,0,1,1,1,0,0,4
2022-10-27 11:00:00,3,2,0,0,0,1,1,0,0,0,7
2022-10-27 12:00:00,7,9,0,1,1,0,0,1,0,0,19
2022-10-27 13:00:00,8,4,0,0,0,0,0,1,1,0,14
2022-10-27 14:00:00,16,1,0,1,0,0,0,0,0,0,18
2022-10-27 15:00:00,6,2,0,0,0,1,0,0,1,0,10
2022-10-27 16:00:00,4,1,0,0,1,0,1,1,0,0,8
2022-10-27 17:00:00,2,0,0,0,0,0,0,0,2,0,4
2022-10-27 18:00:00,5,1,0,1,0,2,0,4,0,0,13
2022-10-27 19:00:00,10,8,0,2,1,0,1,2,1,0,25
2022-10-27 20:00:00,14,3,0,1,0,0,1,5,1,0,25
2022-10-27 21:00:00,22,7,1,2,0,0,0,1,1,0,34
2022-10-27 22:00:00,13,2,0,0,2,0,1,0,0,0,18
2022-10-27 23:00:00,9,1,0,3,0,0,1,0,0,0,14
2022-10-28 0:00:00,3,1,1,0,0,0,0,2,0,1,8
2022-10-28 1:00:00,4,1,1,0,0,0,0,0,0,0,6
2022-10-28 2:00:00,4,0,1,0,0,0,0,0,0,0,5
2022-10-28 3:00:00,1,0,1,0,0,0,0,0,0,0,2
2022-10-28 4:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-28 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-28 6:00:00,0,0,0,0,0,0,1,0,0,0,1
2022-10-28 7:00:00,0,0,0,0,0,1,0,1,1,0,3
2022-10-28 8:00:00,1,0,0,0,0,0,0,2,0,0,3
2022-10-28 9:00:00,0,0,0,0,0,0,1,1,0,0,2
2022-10-28 10:00:00,3,1,1,0,0,1,0,2,0,1,9
2022-10-28 11:00:00,1,0,0,0,0,0,0,4,0,0,5
2022-10-28 12:00:00,8,2,0,1,0,1,0,1,1,0,14
2022-10-28 13:00:00,12,6,2,1,0,0,1,2,0,0,24
2022-10-28 14:00:00,3,0,0,0,0,0,0,1,1,0,5
2022-10-28 15:00:00,7,4,0,0,0,0,0,1,2,0,14
2022-10-28 16:00:00,2,2,0,0,0,0,1,0,0,0,5
2022-10-28 17:00:00,5,0,0,0,0,1,0,1,1,0,8
2022-10-28 18:00:00,4,2,0,0,0,1,0,1,0,0,8
2022-10-28 19:00:00,6,6,0,0,0,1,0,2,0,0,15
2022-10-28 20:00:00,10,7,0,1,1,0,0,0,0,1,20
2022-10-28 21:00:00,7,0,0,1,0,1,2,1,0,0,12
2022-10-28 22:00:00,10,3,0,1,0,0,1,0,0,0,15
2022-10-28 23:00:00,11,1,1,0,0,0,0,0,0,0,13
2022-10-29 0:00:00,5,0,0,1,0,0,0,3,0,0,9
2022-10-29 1:00:00,4,1,0,0,0,0,0,1,0,0,6
2022-10-29 2:00:00,2,0,1,0,0,0,0,0,0,0,3
2022-10-29 3:00:00,0,1,0,0,0,0,0,0,0,0,1
2022-10-29 4:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-29 5:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-29 6:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-29 7:00:00,0,0,0,0,0,2,0,0,1,0,3
2022-10-29 8:00:00,0,1,0,0,0,2,1,1,0,0,5
2022-10-29 9:00:00,3,1,0,0,0,0,1,1,1,0,7
2022-10-29 10:00:00,3,0,0,0,0,1,1,3,0,0,8
2022-10-29 11:00:00,3,0,0,0,0,0,0,2,0,0,5
2022-10-29 12:00:00,10,4,0,2,1,1,0,0,2,0,20
2022-10-29 13:00:00,5,4,0,1,1,0,0,0,0,0,11
2022-10-29 14:00:00,7,5,0,0,0,1,0,0,0,0,13
2022-10-29 15:00:00,7,1,0,0,0,0,1,1,0,0,10
2022-10-29 16:00:00,6,3,0,0,0,0,0,1,1,0,11
2022-10-29 17:00:00,3,1,0,0,0,0,4,2,0,0,10
2022-10-29 18:00:00,2,0,0,0,0,1,1,0,0,0,4
2022-10-29 19:00:00,4,2,0,0,0,1,2,1,0,0,10
2022-10-29 20:00:00,13,6,0,2,0,1,0,0,0,1,23
2022-10-29 21:00:00,15,5,0,2,0,0,1,0,0,0,23
